List
Richard Dreyfuss
John Travolta
Burt Reynolds
Siem Vroom
Jacqueline Bisset
Roger Moore
John Denver
Woody Allen
Helen Reddy
Henry Winkler
Mel Brooks
Linda Blair
Bob Newhart
Paul Newman
Dean Jones
Clint Eastwood
Anne Bancroft
Marie-France Pisier
Diane Keaton
Jane Fonda
William Devane
Benji
Liza Minnelli
Robert Shaw
Richard Harris
Al Pacino
George C. Scott
Duncan Watson
Gene Hackman
Ann-Margret
Paul Le Mat
Angela Aber
Marlon Brando
Roy Scheider
Tom Hulce
Warren Beatty
Peter Sellers
Robert De Niro
Donald Pleasence
Goldie Hawn
Cheech Marin
Brad Davis
Christopher Guard
Walter Matthau
William Holden
Donald Sutherland
Kris Kristofferson
Diana Ross
Sylvester Stallone
Peter Frampton
Faye Dunaway
Bette Davis
Mark Hamill
Anthony Quinn
Peter Ustinov
Gary Busey
Marilyn Hassett
Lily Tomlin
Kristin Griffith
Dustin Hoffman
James Caan
Tim McIntire
Peter Falk
Jack Nicholson
Sterling Hayden
Tony Curtis
Tatum O'Neal
Richard Pryor
Brooke Shields
Charlton Heston
Sophia Loren
Richard Gere
Scott Jacoby
Nancy Allen
Allen Garfield
Burt Young
David Proval
Tom Skerritt
Dan Aykroyd
James Brolin
William Shatner
Steve Martin
Jim Henson
Robert Redford
Bill Murray
Barbra Streisand
Kelly Reno
Maximilian Schell
Jon Voight
Bette Midler
George Burns
Nick Nolte
Michael Beck
Sally Field
Gil Gerard
Tim Conway
Frank Langella
Carol Kane
Alan Alda
Graham Chapman
Talia Shire
Dennis Christopher
John Savage
Candy Clark
Alain Delon
A. Michael Baldwin
Kathleen Quinlan
Gene Wilder
Sean Connery
Julius Erving
Audrey Hepburn
Harvey Korman
Michael Douglas
William Katt
Ali MacGraw
Robert Duvall
George Segal
Harrison Ford
Michael Ontkean
Peter Fonda
Farrah Fawcett
Trini Alvarado
Robby Benson
Susan Anton
Jeff Bridges
Barry Newman
David Carradine
Richard Attenborough
Dick Haynes
Keith Carradine
Tom Erhart
Kareem Abdul-Jabbar
Sissy Spacek
Robin Williams
Chevy Chase
Betsy Palmer
Michael Caine
Neil Diamond
Sam J. Jones
Anthony Hopkins
Olivia Newton-John
Chris Makepeace
Adrienne Barbeau
Eddie Barth
William Hurt
Chuck Norris
Willie Nelson
Cloris Leachman
Kirk Douglas
Steve McQueen
John Ritter
Gilda Radner
Leslie Nielsen
Don Adams
Dudley Moore
Kurt Russell
Elliott Gould
Angela Lansbury
Julius Averitt
Martin Mull
Christopher Reeve
Jack Lemmon
Jackie Chan
Dom DeLuise
Susan Saint James
Jodie Foster
Lee Marvin
Peter O'Toole
Peter Boyle
Robin Altman
Rory Calhoun
Marty Feldman
Don Scardino
Dyan Cannon
Jason Robards
Meat Loaf
Julie Carmen
Tatsuya Nakadai
Ellen Burstyn
David Naughton
Shirley MacLaine
Ray Sharkey
Robert Foxworth
Daniel Anderson
Treat Williams
Alan Bates
Paul Simon
Don Most
Paul Michael Glaser
Phil Daniels
Katharine Hepburn
Nicholas Farrell
John Cleese
Laurence Olivier
Mickey Rooney
Bo Derek
Nigel Terry
Joe Belcher
John Belushi
Meryl Streep
Sylvia Kristel
Jamie Lee Curtis
Marsha Mason
Fred Astaire
Amy Steel
Sam Neill
Dee Wallace
Robert Hays
Ringo Starr
Kristy McNichol
James Cagney
Julie Andrews
Jennifer O'Neill
Peter MacNicol
Klinton Spilsbury
Albert Finney
Maren Jensen
Elizabeth Berridge
Mark Lee
Paul Kelman
Tony Danza
Kristen Riter
Daniel Valdez
Lauren Bacall
Susan Anspach
Albert Brooks
Andy Kaufman
David Scott
Lesley-Anne Down
David Rasche
Harry Hamlin
Leonard Mann
Lauren Tewes
Scott Glenn
Jan-Michael Vincent
Jerzy Radziwilowicz
Robert Logan
Robert Blake
Craig T. Nelson
Arnold Schwarzenegger
Ben Kingsley
Lee Horsley
Terry Ballard
Sean Young
Lloyd Bridges
Sean Penn
Bob Geldof
Toni Attell
Hal Holbrook
Orson Welles
Tom Burlinson
Kenny Rogers
